0950B41C	California Agriculture
045AD05D	The Visual Computer
0482C617	European Journal of Mechanics B-fluids
04839631	The Open Nitric Oxide Journal
04874E2A	Nature Clinical Practice Gastroenterology & Hepatology
04876AD2	Journal of Bronchology
049C03B5	Complex Variables and Elliptic Equations
049FCBB9	Insect Science
04A793A1	International Journal of Infrared and Millimeter Waves
04A9B32F	Pediatric Physical Therapy
04B5BAF8	Journal of Brachial Plexus and Peripheral Nerve Injury
04B700BA	Chemviews
04BA255A	Russian Journal of Plant Physiology
04BBDAB3	Environmental Reviews
04BE18C2	International Journal of Obstetric Anesthesia
04BEDF8F	Mechanical Engineering
04CD8AA4	International Reviews in Physical Chemistry
04D7F5CB	Psicologia Usp
04E86F95	Complementary Therapies in Nursing and Midwifery
04F95FFE	Techniques in Coloproctology
051B5FA8	Language Learning and Development
0523D8C1	Journal of Nutraceuticals, Functional & Medical Foods
0527995F	Vacuum
0538A263	The Old and New Testament Student
053BA109	Studies in Hispanic Cinemas
054E8CB3	Best Practice & Research in Clinical Obstetrics & Gynaecology
054ED51A	Communication Law and Policy
0553C2E6	Geomagnetizm I Aeronomiya
055BFECF	The Open Autoimmunity Journal
056A675E	Journal of Medicine and The Person
056D8754	Colorectal Disease
0570CB11	Journal of Scheduling
057E3D1D	Medical Problems of Performing Artists
057E4E1C	Robotica
05806249	Teaching Artist Journal
0583FCCF	Measurement Science Review
05925AC8	Seminars in Inflammatory Bowel Disease
0599B73B	Yearbook of Psychiatry and Applied Mental Health
059D8A8F	Neuropsychiatrie
05A033D9	Serials Review
05A0BFF1	Journal of The Brazilian Society of Ecotoxicology
05B3C17A	Acta Hydrochimica Et Hydrobiologica
05B87FA1	Training for Quality
05C3F624	The Synergist
05C4CE5B	Journal of Sensors
05C625FF	Regional Science Policy and Practice
05EF6888	Orthopaedics & Traumatology-surgery & Research
05FF4D98	Trabajos De Prehistoria
0608A2C8	Marine Pollution Bulletin
060D0DE5	Archives of Animal Nutrition
0615E94C	Journal of Interamerican Studies and World Affairs
0625DD3B	International Journal of Virology
0628203A	Journal of Quality in Clinical Practice
062B917F	Journal of Polymer Research
06319880	International Journal of Clinical Oncology
06393ED1	Plant Biology
0639411B	Journal of Investigative Medicine
063F0294	Advances in Decision Sciences
064360C0	Systematic Parasitology
064E02A9	Journal of The Mechanics and Physics of Solids
064EA486	Relations Internationales
065A94C4	World Science and Technology
065B4673	Ornithological Monographs
065F9E19	Yearbook of Vascular Surgery
066A5430	Integrated Computer-aided Engineering
068762EE	Dna Sequence
0689C4D2	Anuario De Estudios Medievales
0696092A	Proceedings of The American Thoracic Society
06B775A5	International Journal of Digital Content Technology and Its Applications
06B81A01	Cell Biology International Reports
06C4BF55	Hokkaido Mathematical Journal
06C9EBF5	Journal of Wildlife Diseases
06DE1433	Cochlear Implants International
06EC2E23	Revue Du Nord
06EF6E2B	The Open Law Journal
06EFD30F	European Journal of Immunogenetics
06F5957F	Journal of Social Work Practice in The Addictions
06FB6E3F	Air Medical Journal
06FE4AB5	The Open Colorectal Cancer Journal
0703BB5D	World Bank Research Observer
070530C3	Oral Health & Preventive Dentistry
070CE5A9	Upsala Journal of Medical Sciences
0714EC79	Aquatic Sciences
0722E635	Intelligent Decision Technologies
073E52CE	Optics & Photonics News
07433878	Aviation
0753D812	Translational Research
075DCB5C	Chemical Biology & Drug Design
07648D5F	Lasers in Medical Science
07693D19	Indian Journal of Nuclear Medicine
07815FB9	Public Health Ethics
07834AFF	Irrigation and Drainage Systems
078AB599	Hernia
07A97098	Journal of Limnology
07A9C0E7	Biomedical Digital Libraries
07BFB4B3	Acta Mechanica Sinica
07C3EE5C	Oral Medicine & Pathology
07C4A9B6	Progress in Neurotherapeutics and Neuropsychopharmacology
07C8C198	Journal of Laser Micro Nanoengineering
07D019E7	Wilderness & Environmental Medicine
07D31D0C	Journal of Nonlinear Science
07DF0A40	Biogenic Amines
07E65C83	International Journal of Biomedical Engineering and Technology
07EF4836	Iiuc Studies
07EF9E36	Developmental Neuropsychology
07F9CCF5	Optical and Quantum Electronics
07FB433C	Basic Research in Cardiology
07FC8AB9	Pci Journal
08200AE9	Polish Journal of Pathology
08273424	Victorian Poetry
0831C1DE	Behavior Research Methods
0838B05E	Journal of Applied Aquaculture
0845C13C	Journal of Microwave Surgery
084BD527	Journal of Rare Earths
085BA080	Ire Transactions on Industrial Electronics
085FDCA3	Architectural Science Review
0860CBDA	Textures and Microstructures
086BCB34	Zeitschrift Fur Rheumatologie
0873040E	Promet-traffic & Transportation
0874CC4B	Molecular and Cellular Pharmacology
088680A5	Communication Reports
08868B40	Single Molecules
088DDE51	International Journal of Pest Management: Part A
088E15B0	International Journal of Dairy Technology
088F494D	Internationales Archiv Fur Sozialgeschichte Der Deutschen Literatur
08969CAE	Hybridoma
08A78ACB	Proceedings of The Ice - Engineering and Computational Mechanics
08ADC781	International Journal of Forming Processes
08B63A3C	Reformation and Renaissance Review
08BD7E91	Acta Crystallographica Section E-structure Reports Online
08D04A1B	Reproduction in Domestic Animals
08D5963F	Neuroscience Gateway
08DDF875	Bollettino Della Unione Matematica Italiana
08E3F107	International Clinical Psychopharmacology
08E5C5BB	Work Study
08E97080	Journal of Nuclear Materials
08EB84F7	Travaux De Linguistique
08EBDDF6	Phytoprotection
08EE5A56	International Journal of Value Chain Management
08F07226	Theoretical & Philosophical Psychology
08F2FBD1	Nouvelle Revue De Psychosociologie
08F9313E	Journal of Aerosol Science
0902C3E2	Acta Polymerica Sinica
09063F39	Journal of Post Keynesian Economics
090BCCEF	Advances in Urology
090F6CFD	Transactions of The British Mycological Society
091DF02A	Reviews in Environmental Science and Bio\/technology
0922F48E	Applied Biochemistry and Biotechnology
0929BFB8	Journal of Systems Science and Systems Engineering
092A6C0E	Journal of The Air & Waste Management Association
0956B125	Journal of Islamic Law and Culture
096B1D86	Philosophical Magazine Part B
09799CD2	Ecumenical Review
0979FC6B	Turtle and Tortoise Newsletter
097BF4F5	Pathology
09A59C83	Scandinavian Journal of Management Studies
09A793D1	Journal of Accounting & Organizational Change
09A812F1	The Journal of China Universities of Posts and Telecommunications
09AD222E	European Journal of Archaeology
09AD2B22	Journal of The Korean Geriatrics Society
09B08EA7	International Journal of Micro-nano Scale Transport
09BC2F45	Spirale
09C139CB	Journal of The Chemical Society D: Chemical Communications
09C42572	Annual Review of Pharmacology and Toxicology
09D0EF33	Sprache & Kognition
09D27524	The Open Surface Science Journal
09E0F59D	Journal of The South African Institution of Civil Engineering
09E40AC2	Implicit Religion
09ECDF8E	Lab Animal
0A00AB1A	Kidney & Blood Pressure Research
0A02FE1E	Journal of Huazhong University of Science and Technology-medical Sciences
0A0522DC	Clinical Acupuncture and Oriental Medicine
0A0AEAE4	Journal of Consumer Studies and Home Economics
0A1616B0	Environmental Engineering and Management Journal
0A226963	Korean Journal of Genetics
0A283B42	Crime Law and Social Change
0A28AFF5	Membrane Science and Technology
0A401AFD	Water-engineering & Management
0A46F102	BMC Nephrology
0A4EC460	European Journal of Protistology
0A51D799	Landscape and Ecological Engineering
0A5862FC	The Liverpool Law Review
0A69A542	Journal of Glaucoma
0A7A76A4	Coal Combustion and Gasification Products
0A7ECA1D	Community Mental Health Journal
0A8A9952	Wireless Engineering and Technology
0AADB995	Journal of Intelligent and Fuzzy Systems
0AB3229C	Cement Concrete and Aggregates
0AB99A4E	Monthly Review-an Independent Socialist Magazine
0ABC3469	Journal of Clinical Nursing
0AC84215	Journal of Logic and Analysis
0AD42604	Journal of Biomechanics
0AD48C37	Uniletras
0B07CACA	The Review of International Affairs
0B08B652	Turkish Historical Review
0B2DFE3C	Social Development
0B396F01	Historisches Jahrbuch
0B496C42	Ingenieria Quimica
0B4E2698	Journal of Clinical Apheresis
0B4FD17F	Journal of The Polynesian Society
0B544C8B	Materials Science & Engineering R-reports
0B5B97FF	The American Sociologist
0B6357AA	Rivista Di Neuroradiologia
0B6923B4	Izvestiya Akademii Nauk Seriya Fizicheskaya
0B6F1415	Endocrinology and Metabolism
0B89DA39	Women's Writing
0B9622BB	Transport Reviews
0BA92B87	High Temperatures-high Pressures
0BB41FEE	International Journal of Technology Management and Sustainable Development
0BBB40EA	Computers & Industrial Engineering
0BBC24B8	Molecular Urology
0BCE9B75	Oceanologica Acta
0BD5BED9	Online Journal of Rural Research & Policy
0BD767FE	College English
0BE3C0C8	New Forests
0C079A10	Acta Academiae Medicinae Wuhan
0C102EEE	Hrvatski Filmski Ljetopis
0C1075E3	Advances in Artificial Neural Systems
0C16776D	Brazilian Oral Research
0C22FDBD	IEEE Reviews in Biomedical Engineering
0C2554E3	Habitat International
0C2C87C1	European Journal of Drug Metabolism and Pharmacokinetics
0C34E8E1	Journal of Research in Childhood Education
0C3C7A67	Operative Techniques in Neurosurgery
0C4B8B19	Agrociencia
37BB4174	Foundations and Trends in Stochastic Systems
3868EDD4	Reviews in Contemporary Pharmacotherapy
39A97148	International Journal of Computing and Corporate Research
39F1372D	Reports of Patent, Design and Trade Mark Cases
3A0C465A	Cfi-ceramic Forum International
3B3813CD	China Foundry
3BA341BC	Journal of Sports Chiropractic & Rehabilitation
3BB9EE76	South Dakota Review
3CEDFFC9	Zeitschrift Fur Kirchengeschichte
3D157EB3	Maayan
3D541E5A	Icca Journal
3D7517EB	Clinical Medicine: Oncology
3D7B67D6	Ceska A Slovenska Neurologie A Neurochirurgie
3D823509	Neurological Surgery
3DAB0804	International Journal of Customer Relationship Marketing and Management
3E05E088	Romatizma-rheumatism
3E3FAC5C	Eikasmos-quaderni Bolognesi Di Filologia Classica
01C988C6	Journal of Personality and Social Psychology
0A165996	Cell Reports
0A90352F	Journal of Sex Research
038DDB17	Behavioral and Brain Sciences
0A0F5A21	Genes & Development
085F2CE9	Interfaces
095E801B	Journal of Slavic Military Studies
02BDCAB3	The Economic Journal
0909113F	Biochemical and Biophysical Research Communications
08350109	Advances in Physics
02BECBE8	Journal of Molecular Biology
021C5A47	Physical Review E
0A5D3308	Antiquity
0828DE2C	Environment and Behavior
0100CC11	Immunopharmacology and Immunotoxicology
02E2B39B	South Atlantic Review
031FE9D1	Journal of World History
0AB7B030	Organic and Biomolecular Chemistry
0B246A55	Energy & Fuels
0A461EBF	Journal of Psychology and Christianity
000F08D7	Technometrics
021E825A	Journal of American Studies
002B7A76	Electrophoresis
024CFD56	Human Rights Quarterly
00863647	Vetus Testamentum
0BD65205	Nova Law Review
068E6FF5	Drug and Alcohol Dependence
0362BB51	Nature Reviews Microbiology
04E211E7	Psychoneuroendocrinology
0B2AB520	Personality and Social Psychology Bulletin
077A16F3	Child Maltreatment
0140247E	New Labor Forum
053632F2	Environmental Ethics
0AA31555	American Bankruptcy Law Journal
063D91F7	Anesthesia & Analgesia
08092A97	Communications on Pure and Applied Mathematics
0C3960E5	American Journal of Botany
0704FCCB	Dance Chronicle
387F0046	Intellectum
0A3C05AE	Academic Emergency Medicine
3B71F35C	The Bilingual Review
01EC6BE0	Journal of Environmental Psychology
06A5DD35	Canadian Journal of African Studies
0333715F	Journal of Food Biochemistry
04E4BA2D	Journal of Applied Ecology
0C23E2A3	Music Analysis
016D078C	African Journal of Traditional, Complementary and Alternative Medicines
019506C5	Multitudes
01B1D448	Rheumatic Diseases Clinics of North America
04454B67	Policy, Politics, & Nursing Practice
09040293	Election Law Journal
0322BB53	Journal of Biomedical Science
03527B73	Journal of Hydrology
07CB7487	Pacific Journal of Mathematics
39E0E595	Journal of Business Forecasting
03555F6B	The Review of Litigation
08A2667A	The Annals of Thoracic Surgery
0B02BE60	Public Budgeting & Finance
390DB8F4	BYU Studies Quarterly
0499CE05	Statistical Applications in Genetics and Molecular Biology
07A6DC6A	Africa
06701343	Journal of Organometallic Chemistry
009665C8	International Political Science Review
0B67C20C	European Journal of Nuclear Medicine and Molecular Imaging
01DF4B78	Biotechnology Journal
065E2FEA	Byzantinische Zeitschrift
0B5E766A	The Mathematics Enthusiast
06650392	Revue des Études Arméniennes
395765D4	IA, The Journal of the Society for Industrial Archeology
07C9F8C4	Innovative Food Science and Emerging Technologies
001FD085	Chemiker Zeitung
08EDE371	Book History
01578475	Queen's Quarterly
01E937F0	International Journal of Climatology
027B7782	Psychiatric Genetics
029E2687	Arts & Letters
38645A72	Virginia Tax Review Association
3C74E783	Meddelelser om Grønland
01FFEFAD	Drug and Therapeutics Bulletin
025FEDCB	International Journal of Forecasting
007F6F5E	IEEE Transactions on Software Engineering
05B7B307	Child Language Teaching and Therapy
3AE6D30C	The Church Review and Ecclesiastical Register
080CF2BD	Theoretical and Mathematical Physics
021F1B56	Computing
0006E854	Holocaust and Genocide Studies
00BEB39E	Pula
01CA5574	New Nietzsche Studies
0367B567	Journal of Legislation
05EF6448	Journal of Genetic Counseling
096E40FB	Proceedings of the Human Factors and Ergonomics Society Annual Meeting
0984D13B	Botanical Journal of the Linnean Society
3CB14E72	Materials Science and Engineering R
05F2583B	Management Learning
0BDBAB16	Alpine Journal
05839341	International Journal of Social Psychiatry
0293975A	Durkheimian Studies
0C0D04AC	Journal of Medical Imaging and Radiation Oncology
06B2CC18	Hospitality Review
098FAB51	Pepperdine Law Review
00681BC1	Hebraic Political Studies
01AA82D4	African Journal of Educational Studies in Mathematics and Sciences
01B9FD75	Medicine
02598BBA	Coastal Engineering Journal
09D8DA3A	Chemical Vapor Deposition
093CB0B1	Silliman Journal
07D94EC9	Caribbean Journal of Science
08601A97	Perspective Magazine
000889CE	Orthopaedics and Traumatology
0008AD16	Archives of Gynecology and Obstetrics
000BE8DD	ACM Sigforth Newsletter
00196F6D	Soil & Tillage Research
002FD13B	Inorganic Materials: Applied Research
003E5EDB	Prefix
004B22BF	Chromosome Botany
004BE63E	Gaming Law Review
005EF946	Loisir & Societe-society and Leisure
0061D254	Tectonics
0065169C	Irish Educational Studies
00676063	Technical Quarterly
008A67E9	International Journal of Impact Engineering
00A10777	Psychology
00A72BBE	Agronomie
00A8973D	Strojarstvo
00ABA86E	Entomologica Fennica
00C1116F	Journal of Community Practice
00DDD78B	Idojaras
00FE23A3	Current Psychosis & Therapeutics Reports
00FE358F	Urban Forum
0111FE6E	Northwestern Naturalist
0118A268	International Journal of Cast Metals Research
011C2736	Journal of Systems Engineering and Electronics
0125EC5B	Recent Progress in Hormone Research
012D1D9E	International Reviews of Immunology
01419D8A	The Open Cell Signaling Journal
0143180D	Health Statistics Quarterly
0145B27D	Plastics Rubber and Composites
015726B8	Acta Scientiarum. Animal Sciences
01586143	Epilepsies
0170890D	BMC Ecology
017569DC	International Journal of Signal and Imaging Systems Engineering
01797E5B	Pvri Review
017FAA3C	Maydica
017FE099	Idrugs
0188E2F7	Chemical Week
018F4585	Canadian Journal of Statistics-revue Canadienne De Statistique
0190F656	International Journal of Agriculture and Biology
